Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C5, C8, C9",0603,5,100nF,C14663
"C10, C11, C3, C6",0805,4,4.7uF,C1779
"C4, C7",0603,2,1uF,C15849
D1,SOT-143,1,PRTR5V0U2X,C2827688
D2,0805,1,LED,C84256
D3,0805,1,LED,C2297
J1,USB_C_Receptacle_Palconn_UTC16-G,1,USB_C_Receptacle_USB2.0_16P,C165948
"J2, J3",Hirose_FH12-12S-0.5SH_1x12-1MP_P0.50mm_Horizontal,2,Cirque,C88360
L1,0603,1,600R @ 100MHz,C1002
"R1, R2",0603,2,5k1,C23186
"R3, R4",0603,2,220R,C22962
S1,SW_KMR221GLFS,1,KMR221GLFS,C72443
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW2, SW3, SW4, SW5, SW6, SW7, SW8, SW9",keyswitch_cherrymx_hotswap_1u,16,SW_Push,C41430893
U1,LQFP-64_10x10mm_P0.5mm,1,STM32G0B1RETx,C2829307
U2,SOT-223-3_TabPin2,1,LD1117S33TR_SOT223,C435835
